City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,tasiilaq,92,GL,1538535000,59,65.61,-37.64,35.6,9.17
88,zhangye,0,CN,1538538872,55,38.94,100.46,57.41,3.85
89,norman wells,40,CA,1538535600,95,65.28,-126.83,32.0,4.7
90,sola,75,NO,1538536800,87,58.89,5.65,46.4,17.22
91,akdepe,0,TM,1538535600,55,42.05,59.39,62.6,11.41
92,taoudenni,44,ML,1538538872,36,22.68,-3.98,73.16,2.73
93,garowe,92,SO,1538538672,98,8.41,48.48,68.66,4.63
94,lavrentiya,92,RU,1538538873,90,65.58,-170.99,46.16,27.89
95,vao,92,EE,1538538873,100,59.1,26.19,42.92,7.54
96,homer,90,US,1538535180,73,59.64,-151.54,53.06,13.69
97,lebu,0,ET,1538538873,86,8.96,38.73,42.11,3.18
98,nanortalik,92,GL,1538538873,100,60.14,-45.24,33.56,2.17
99,gornoye loo,75,RU,1538535600,88,43.72,39.61,62.6,6.71
100,abaza,92,RU,1538538873,81,52.65,90.1,37.34,6.53
101,san jacinto,90,US,1538535480,32,33.78,-116.96,84.92,9.17
102,upernavik,0,GL,1538538874,100,72.79,-56.15,29.06,10.22
103,roma,0,IT,1538536800,72,41.89,12.48,64.4,8.05
104,kitsuki,20,JP,1538535600,69,33.42,131.62,73.4,10.29
105,carnarvon,0,ZA,1538538874,80,-30.97,22.13,41.66,17.16
106,george,20,NG,1538535600,94,6.63,3.35,77.0,2.24
107,husavik,92,CA,1538538874,100,50.56,-96.99,40.31,12.12
108,clyde river,90,CA,1538537640,100,70.47,-68.59,23.0,5.82
109,sawtell,0,AU,1538537400,60,-30.38,153.1,71.6,21.92
110,baykit,80,RU,1538538875,71,61.68,96.39,34.28,12.24
111,pindushi,36,RU,1538538875,100,62.92,34.58,37.61,8.43
112,kloulklubed,75,PW,1538535000,74,7.04,134.26,86.0,8.05
113,kushima,20,JP,1538535600,69,31.5,131.29,75.2,10.29
114,poum,0,MK,1538538875,90,41.28,20.71,46.79,2.17
115,grants pass,90,US,1538536320,96,42.44,-123.33,71.96,5.82
116,yar-sale,24,RU,1538538875,100,66.83,70.83,34.91,6.76
117,chapais,75,CA,1538535600,86,49.78,-74.86,39.2,5.82
118,khatanga,80,RU,1538538876,100,71.98,102.47,32.21,6.31
119,san vicente,20,SV,1538538600,100,13.64,-88.78,77.0,3.36
120,geraldton,90,CA,1538535600,87,49.72,-86.95,44.6,13.87
121,aswan,0,EG,1538535600,30,24.09,32.9,82.4,5.82
122,beringovskiy,92,RU,1538538877,96,63.05,179.32,46.88,20.51
123,ust-tsilma,80,RU,1538538877,96,65.44,52.15,42.65,7.43
124,moron,40,VE,1538535600,88,10.49,-68.2,77.0,2.39
125,dwarka,20,IN,1538537400,54,28.58,77.04,84.2,4.18
126,la ronge,5,CA,1538535600,70,55.1,-105.3,32.0,6.93
127,tuatapere,0,NZ,1538538877,89,-46.13,167.69,51.29,17.83
128,bowen,0,AU,1538535600,36,-20.01,148.25,80.6,16.11
129,dikson,32,RU,1538538878,100,73.51,80.55,37.88,22.41
130,butaritari,0,KI,1538538878,100,3.07,172.79,84.95,5.08
131,mayo,40,CA,1538535600,63,63.59,-135.9,28.4,2.24
132,avarua,40,CK,1538535600,53,-21.21,-159.78,73.4,17.22
133,urengoy,44,RU,1538538878,87,65.96,78.37,28.25,6.98
134,winchester,0,GB,1538535000,93,51.06,-1.31,55.4,5.82
135,kathmandu,20,NP,1538536800,68,27.71,85.32,71.6,2.24
136,yangambi,56,CD,1538538879,98,0.77,24.47,71.0,1.95
137,ancud,48,CL,1538538879,89,-41.87,-73.83,40.58,4.07
138,zyryanskoye,88,RU,1538538879,84,56.83,86.62,41.12,8.77
139,east london,75,ZA,1538536920,87,-33.02,27.91,53.6,13.87
140,yashan,0,CN,1538538879,68,30.81,118.02,71.99,3.85
141,luderitz,0,NA,1538538879,77,-26.65,15.16,56.87,17.49
142,zyryanka,0,RU,1538538879,72,65.73,150.89,37.25,2.62
143,anadyr,90,RU,1538535600,100,64.73,177.51,48.2,29.08
144,humberto de campos,0,BR,1538538880,92,-2.6,-43.46,79.55,17.49
145,braganca,8,BR,1538538880,84,-1.05,-46.77,77.39,7.43
146,rocha,0,UY,1538538880,86,-34.48,-54.34,40.76,4.74
147,ayan,8,TR,1538538880,85,40.67,33.6,37.25,2.06
148,kabalo,68,CD,1538538880,81,-6.05,26.92,74.51,7.87
149,victoria,75,BN,1538537400,83,5.28,115.24,82.4,3.36
150,nemuro,20,JP,1538535600,43,43.32,145.57,69.8,17.22
151,mnogovershinnyy,64,RU,1538538881,53,53.94,139.92,48.68,7.76
152,struer,76,DK,1538536800,76,56.48,8.6,48.2,13.87
153,sitka,8,US,1538538881,50,37.17,-99.65,78.29,18.84
154,havoysund,76,NO,1538538820,100,71.0,24.66,38.42,12.8
